 Nome ,Idade,CIDADE,Data Admissão,salario (R$),Estado-civil,Cargo ,Telefone
  SAULO SOUZA  ,37.0,curitiba,24/10/2023,3635.86,solteiro,analista,nan
Paula Pereira,39.0,rio de janeiro,04/06/2024,3089.28,casado,engenheiro de dados,nan
Gabi Oliveira,16.0,curitiba,09/01/2025,3378.62,solteiro,analista,nan
Leo Santos,,salvador,21/08/2021,6428.9,casado,estagiario,nan
Zeca Ferreira,19.0,manaus,23/04/2022,2226.61,viuvo,gestor,nan
Ana Rodrigues,47.0,curitiba,27/06/2018,1666.24,divorciado,analista,nan
Saulo Souza,35.0,sao paulo,30/05/2019,2409.06,casado,engenheiro de dados,nan
Paula Carvalho,23.0,belo  horizonte,31/01/2027,2367.27,divorciado,cientista de dados,nan
Tania Almeida,45.0,,19/04/2022,1469.51,solteiro,estagiario,nan
Otavio Almeida,42.0,curitiba,21/02/2016,1730.55,divorciado,,nan
Will Santos,,rio de janeiro,20/09/2015,2299.84,viuvo,analista,nan
Eva Oliveira,45.0,belo  horizonte,17/12/2022,,viuvo,analista,nan
Vera Lima,39.0,belo  horizonte,31/08/2018,2570.29,casado,estagiario,nan
Will Silva,50.0,rio de janeiro,09/03/2021,5085.37,divorciado,estagiario,nan
Joao Oliveira,33.0,fortaleza,27/12/2016,3515.26,solteiro,cientista de dados,nan
Ulisses Carvalho,11.0,sao paulo,22/11/2018,2840.02,divorciado,analista,nan
Marta Almeida,120.0,salvador,27/07/2023,1860.7,viuvo,estagiario,nan
Joao Carvalho,51.0,sao paulo,16/02/2020,1154.78,solteiro,cientista de dados,nan
Paula Souza,35.0,salvador,01/12/2024,4467.64,divorciado,desenvolvedor,nan
Nina Rodrigues,32.0,curitiba,21/04/2017,1444.45,viuvo,analista,nan
  KATIA SANTOS  ,42.0,manaus,06/02/2018,2838.44,solteiro,engenheiro de dados,nan
Rita Rodrigues,23.0,Fortaleza,21/07/2022,4623.26,solteiro,estagiario,(11) 99261-1413
Joao Souza,23.0,curitiba,31/07/2015,2848.54,divorciado,engenheiro de dados,nan
Otavio Ferreira,40.0,fortaleza,28/03/2015,2038.28,viuvo,analista,nan
Paula Carvalho,34.0,sao paulo,03/03/2024,2722.28,solteiro,estagiario,nan
Xavier Souza,51.0,manaus,06/04/2021,3694.71,casado,estagiario,nan
Will Oliveira,24.0,salvador,03/07/2016,3374.45,solteiro,gestor,nan
Saulo Ferreira,54.0,recife,17/01/2024,6733.4,solteiro,estagiario,nan
  PAULA SANTOS  ,41.0,Rio De Janeiro,15/09/2024,3244.43,casado,gestor,nan
Heitor Ferreira,38.0,curitiba,16/02/2017,6872.1,solteiro,desenvolvedor,nan
Nina Souza,35.0,Salvador,25/04/2022,2077.02,solteiro,estagiario,nan
Carla Ferreira,25.0,recife,13/10/2021,3461.43,viuvo,gestor,nan
Katia Carvalho,33.0,manaus,08/06/2023,2221.7,solteiro,engenheiro de dados,nan
Ana Oliveira,26.0,recife,03/04/2020,2736.04,viuvo,engenheiro de dados,nan
Leo Rodrigues,,sao paulo,22/09/2022,3601.55,solteiro,gestor,nan
Gabi Carvalho,27.0,,14/12/2017,3405.32,solteiro,estagiario,nan
Zeca Silva,34.0,salvador,19/03/2021,5468.89,casado,estagiario,nan
Paula Almeida,46.0,salvador,07/01/2015,4226.56,casado,engenheiro de dados,nan
Ana Lima,35.0,recife,16/12/2017,3058.51,solteiro,engenheiro de dados,nan
Marta Santos,42.0,sao paulo,04/12/2020,2094.94,divorciado,cientista de dados,nan
Katia Pereira,38.0,sao paulo,02/12/2019,3503.48,casado,estagiario,nan
Ulisses Santos,,sao paulo,24/04/2017,2257.36,casado,engenheiro de dados,nan
Heitor Lima,31.0,Curitiba,29/06/2017,3110.55,casado,desenvolvedor,nan
Joao Santos,,salvador,02/03/2023,2429.04,solteiro,engenheiro de dados,nan
